1,1,,,,poor,block
2,2,chapel,,South,high,
3,3,chapel,2,South,high,
4,4,chapel,2,East,poor,
5,5,chapel,2,South,medium,
6,6,,,,poor,block
7,7,chapel,1,South,high,
8,8,chapel,,South,high,
9,9,chapel,2,West,,
10,10,chapel,,South,poor,
11,11,chapel,2,West,mixed,
12,12,chapel,3,South,medium,
13,13,chapel,2,South,mixed,
14,14,chapel,,East,mixed,
15,15,chapel,1,West,high,
16,15,burial chamber,,South,high,
17,16,chapel,,South,high,
18,17,chapel,,South,high,
19,18,chapel,,South,high,
20,19,chapel,,East,poor,
21,20,chapel,,North,high,
22,21,chapel,,South,medium,
23,22,chapel,2,South,high,
24,22,chapel,3,South,high,
25,23,chapel,2,South,poor,
26,24,chapel,,South,high,
27,25,chapel,2,North,high,
28,26,chapel,2,East,medium,
29,27,chapel,,South,medium,
30,28,chapel,2,South,medium,
31,29,chapel,1,North,medium,
32,30,chapel,,South,medium,
33,31,chapel,2,East,high,
34,32,chapel,,North,poor,
35,33,chapel,2,South,poor,
36,34,chapel,2,South,,
37,35,,,,mixed,block
38,36,chapel,,South,high,
39,37,chapel,4,South,high,
40,37,chapel,6,South,high,
41,38,chapel,,West,high,
42,39,chapel,,East,,
43,40,chapel,,South,,
44,41,chapel,2,North,medium,
45,42,chapel,,West,high,
46,42,chapel,,South,mixed,
47,43,chapel,,North,mixed,
48,44,chapel,10,West,high,
49,45,chapel,,South,,
50,46,chapel,,North,,
51,47,chapel,,East,poor,
52,48,chapel,,South,high,
53,49,chapel,,East,,
54,50,chapel,,West,high,
55,51,chapel,,South,,
56,52,chapel,,South,high,
57,53,chapel,,North,high,
58,54,chapel,,South,poor,
59,55,chapel,,North,medium,
60,55,chapel,,South,medium,
61,55,chapel,,West,medium,
62,56,chapel,,East,,
63,57,chapel,1,North,high,
64,58,chapel,3,East,mixed,
65,59,,,,high,block
66,60,chapel,2,North,high,
67,61,chapel,2,South,high,
68,62,chapel,,North,high,
69,63,chapel,,South,high,
70,64,chapel,5,South,high,
71,65,chapel,,West,poor,
72,66,,,,medium,block
73,67,chapel,,,high,false door
74,68,chapel,,West,high,
75,69,,,,,block
76,70,,,,mixed,block
77,70,,,,mixed,block
78,71,,,,mixed,block
79,72,,,,medium,block
80,73,chapel,,South,high,
81,73,chapel,,West,medium,
82,74,chapel,,West,medium,
83,75,chapel,,North,medium,
84,76,chapel,3,South,high,
85,77,chapel,,West,medium,
86,78,chapel,,South,medium,
87,79,chapel,,West,medium,
88,80,chapel,,North,medium,
89,81,chapel,1,North,medium,
90,82,chapel,,South,high,
91,83,chapel,3,North,high,
92,84,chapel,1,South,medium,
93,85,chapel,1,North,medium,
94,86,chapel,,North,poor,
95,87,chapel,,North,medium,
96,88,chapel,,South,medium,
97,89,chapel,,East,medium,
98,90,chapel,,West,medium,
99,91,chapel,,North,medium,
100,92,,,,medium,block
101,53,chapel,,North,high,
