1,15,snsn iri ib(=i) pA(=i) mr.y s(i) im=k im irr nn,right to left,,,,
2,38,Hs(i).t in xnr,left to right,straight,upwards,bent,after
3,39,Hs(i).t in Hs(i.w) n(.y) pr.w-D.t,left to right,straight,upwards,bent,after
4,41,sxmx-ib ra.w-nb,right to left,,,,
5,49,sbA iri(.w) /// n sn[.w] n /// nTr.w ///,,,,,
6,57,wpw A pr.w m nfr.t,right to left,,,,
7,57,sn D.t n Ax.t wr,right to left,,,,
8,66,wpw [A] pr.w m nfr.t x[r] @w.t-Hr.w,left to right,,,,
9,66,iw anx nDm(i) m xwt=k nfr.t xr @w.t-Hr.w [ra.w]-nb,left to right,,,,
10,66,inD Hr=t m anx Hw.t-Hr.w sanx=T /// ra.w-nb,left to right,,,,
11,70,di r xrw ir=k Hs(i) pw,right to left,bent,upwards,straight,
12,70,anx nsw rd.wy,right to left,,,,
13,70,Hs(i).t ir(.w) m nw n sn-nTr.w(y) pr(i) (i)r=k ir=s,left to right,bent,upwards,bent,before
14,74,aq=f qA (i)r=i,right to left,,,,
15,82,m nA bw nfr n kA=k,left to right,,,,
16,87,Hs(i).t m bn.wt n kA n(.y) hA.ty-a xtm.y-bi.ty HqA Hw.t smr wa.ty imAx.w Ibi,right to left,straight,upwards,straight,before
17,91,xa Nbw m rw.t wr.t,left to right,,,,
18,91,qA sxm.t=T in @r.w,left to right,,,,
19,101,/// mA ???,right to left,,,,
